Name,Location,Code,Category,Description,Drawing Number,
FCON - Tank,1100,1100-21101,Equipment,"Bolted steel, insulated feed conditioning tank, fixed cover",,
FCON - Mixer - #1,1100,1100-21101,Equipment,PSM 940 Mixer,,
FCON - Mixer - #2,1100,1100-21102,Equipment,PSM 940 Mixer,,
FCON - Mixer - #3,1100,1100-21103,Equipment,PSM 940 Mixer,,
FCON - Mixer - #4,1100,1100-21104,Equipment,PSM 940 Mixer,,
FCON - Mixer - #5,1100,1100-21105,Equipment,PSM 940 Mixer,,
FCON - Mixer - #6,1100,1100-21106,Equipment,PSM 940 Mixer,,
FCON - Mixer - Auto-Positioner - #1,1100,1100-21101,Equipment,,,
FCON - Mixer - Auto-Positioner - #2,1100,1100-21102,Equipment,,,
FCON - Mixer - Auto-Positioner - #3,1100,1100-21103,Equipment,,,
FCON - Mixer - Auto-Positioner - #4,1100,1100-21104,Equipment,,,
FCON - Mixer - Auto-Positioner - #5,1100,1100-21105,Equipment,,,
FCON - Mixer - Auto-Positioner - #6,1100,1100-21106,Equipment,,,
FCON - Mixer - Service - Box - #1,1100,1100-21101,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #2,1100,1100-21102,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #3,1100,1100-21103,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #4,1100,1100-21104,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #5,1100,1100-21105,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #6,1100,1100-21106,Equipment,Service Box Pro for fixed cover roof,,
FCON - Heat - Exchanger - Pump - #1 -  - ,1100-HX,1100-HX-44201A,Equipment,,,
FCON - Heat - Exchanger - Pump - #2 - ,1100-HX,1100-HX-44201B,Equipment,,,
Hot - Water - Pump - #3,1100-HX,1100-HX-44202A,Equipment,,,
Hot - Water - Pump - #4,1100-HX,1100-HX-44202B,Equipment,,,
FCON - Heat - Exchanger - #1,1100-HX,1100-HX-44201A,Equipment,1250kW duty heat exchanger,,
